site_id,latitude,longitude,week_start,visitor_count
node,30.286841,-97.7449201,2025-06-01,1
node,30.215817,-97.7976628,2025-06-01,1
node,30.4532051,-97.8270471,2025-06-01,1
node,30.2672874,-97.7545299,2025-06-01,1
node,30.3387832,-97.7187041,2025-06-01,1
node,30.2755268,-97.765193,2025-06-01,1
node,30.4168674,-97.6991271,2025-06-01,1
node,30.4120965,-97.689915,2025-06-01,1
node,30.4019256,-97.7264596,2025-06-01,1
node,30.2765365,-97.7496715,2025-06-01,1
node,30.2576584,-97.7048592,2025-06-01,1
node,30.2022458,-97.664333,2025-06-01,1
node,30.2856787,-97.7115843,2025-06-01,1
node,30.4027582,-97.7212458,2025-06-01,1
node,30.2213187,-97.7567513,2025-06-01,1
node,30.2652626,-97.7383962,2025-06-01,1
node,30.2740058,-97.7448779,2025-06-01,1
node,30.2799893,-97.7388481,2025-06-01,1
node,30.2693448,-97.7464777,2025-06-01,1
node,30.202367,-97.6678025,2025-06-01,1
node,30.3555394,-97.7302023,2025-06-01,1
node,30.2627736,-97.7254221,2025-06-01,1
node,30.2628366,-97.7256008,2025-06-01,1
node,30.2619801,-97.761792,2025-06-01,1
node,30.2684394,-97.7448291,2025-06-01,1
node,30.3013564,-97.6620305,2025-06-01,1
node,30.2619053,-97.7209601,2025-06-01,1
node,30.3118866,-97.7603128,2025-06-01,1
